attendance_id,employee_id,attendance_date,status,check_in_time,check_out_time
1,1,2025-06-02,PRESENT,08:15:00,17:15:00
2,2,2025-06-02,ABSENT,,
3,3,2025-06-02,ABSENT,,
4,4,2025-06-02,PRESENT,10:37:00,18:37:00
5,5,2025-06-02,ABSENT,,
6,6,2025-06-02,PRESENT,09:14:00,16:14:00
7,7,2025-06-02,ABSENT,,
8,8,2025-06-02,PRESENT,08:48:00,15:48:00
9,9,2025-06-02,WFH,08:09:00,17:09:00
10,10,2025-06-02,PRESENT,10:27:00,19:27:00
11,11,2025-06-02,PRESENT,09:24:00,18:24:00
12,12,2025-06-02,PRESENT,10:16:00,19:16:00
13,13,2025-06-02,WFH,08:43:00,17:43:00
14,14,2025-06-02,PRESENT,10:56:00,19:56:00
15,15,2025-06-02,WFH,09:49:00,18:49:00
16,16,2025-06-02,PRESENT,08:18:00,16:18:00
17,17,2025-06-02,PRESENT,09:00:00,18:00:00
18,18,2025-06-02,LEAVE,,
19,19,2025-06-02,PRESENT,10:48:00,17:48:00
20,20,2025-06-02,ABSENT,,
21,21,2025-06-02,PRESENT,10:19:00,19:19:00
22,22,2025-06-02,ABSENT,,
23,23,2025-06-02,ABSENT,,
24,24,2025-06-02,PRESENT,08:23:00,15:23:00
25,25,2025-06-02,ABSENT,,
26,1,2025-06-03,WFH,10:58:00,17:58:00
27,2,2025-06-03,ABSENT,,
28,3,2025-06-03,PRESENT,09:01:00,16:01:00
29,4,2025-06-03,PRESENT,09:15:00,16:15:00
30,5,2025-06-03,PRESENT,10:05:00,17:05:00
31,6,2025-06-03,LEAVE,,
32,7,2025-06-03,PRESENT,08:48:00,17:48:00
33,8,2025-06-03,WFH,08:08:00,17:08:00
34,9,2025-06-03,PRESENT,10:10:00,18:10:00
35,10,2025-06-03,ABSENT,,
36,11,2025-06-03,WFH,10:27:00,17:27:00
37,12,2025-06-03,ABSENT,,
38,13,2025-06-03,WFH,10:44:00,17:44:00
39,14,2025-06-03,LEAVE,,
40,15,2025-06-03,PRESENT,09:42:00,18:42:00
41,16,2025-06-03,PRESENT,09:57:00,18:57:00
42,17,2025-06-03,PRESENT,08:15:00,15:15:00
43,18,2025-06-03,PRESENT,09:01:00,18:01:00
44,19,2025-06-03,ABSENT,,
45,20,2025-06-03,PRESENT,10:14:00,17:14:00
46,21,2025-06-03,PRESENT,10:40:00,17:40:00
47,22,2025-06-03,PRESENT,08:57:00,15:57:00
48,23,2025-06-03,WFH,09:04:00,18:04:00
49,24,2025-06-03,PRESENT,09:42:00,17:42:00
50,25,2025-06-03,PRESENT,10:08:00,19:08:00
51,1,2025-06-04,ABSENT,,
52,2,2025-06-04,ABSENT,,
53,3,2025-06-04,PRESENT,08:50:00,16:50:00
54,4,2025-06-04,WFH,09:12:00,16:12:00
55,5,2025-06-04,PRESENT,10:27:00,18:27:00
56,6,2025-06-04,PRESENT,09:29:00,18:29:00
57,7,2025-06-04,PRESENT,10:41:00,19:41:00
58,8,2025-06-04,PRESENT,08:25:00,17:25:00
59,9,2025-06-04,PRESENT,08:15:00,15:15:00
60,10,2025-06-04,PRESENT,10:28:00,17:28:00
61,11,2025-06-04,PRESENT,08:17:00,16:17:00
62,12,2025-06-04,PRESENT,08:28:00,17:28:00
63,13,2025-06-04,PRESENT,08:41:00,17:41:00
64,14,2025-06-04,WFH,08:05:00,15:05:00
65,15,2025-06-04,PRESENT,09:31:00,17:31:00
66,16,2025-06-04,PRESENT,09:57:00,16:57:00
67,17,2025-06-04,PRESENT,09:00:00,17:00:00
68,18,2025-06-04,PRESENT,09:18:00,17:18:00
69,19,2025-06-04,LEAVE,,
70,20,2025-06-04,LEAVE,,
71,21,2025-06-04,WFH,10:42:00,19:42:00
72,22,2025-06-04,PRESENT,08:12:00,16:12:00
73,23,2025-06-04,PRESENT,08:37:00,17:37:00
74,24,2025-06-04,ABSENT,,
75,25,2025-06-04,PRESENT,10:20:00,17:20:00
76,1,2025-06-05,PRESENT,10:30:00,19:30:00
77,2,2025-06-05,WFH,10:10:00,17:10:00
78,3,2025-06-05,ABSENT,,
79,4,2025-06-05,PRESENT,08:04:00,17:04:00
